House to Lot Ratio (Bottom),House to Lot Ratio (Top),Acres (Bottom),Acres (Top),VDL Sale Price (Bottom),VDL Sale Price (Top),Records Used,R^2 Test,MSE Test
0.01,0.01,0.01,0.01,0.01,0.01,16273,0.7550049510085438,89.09029046350993
0.01,0.01,0.01,0.01,0.01,0.05,16055,0.7324197542125039,78.83395605200165
0.01,0.01,0.01,0.01,0.01,0.1,15721,0.735870281236787,93.53316987086845
0.01,0.01,0.01,0.01,0.01,0.15,15545,0.6461281333298172,120.68743706728112
0.01,0.01,0.01,0.01,0.01,0.2,15358,0.6904086490227568,105.33847186655328
0.01,0.01,0.01,0.05,0.01,0.01,16008,0.699172122382363,82.25415014239725
0.01,0.01,0.01,0.05,0.01,0.05,15819,0.75747557996684,80.18429712477136
0.01,0.01,0.01,0.05,0.01,0.1,15496,0.7554255096593643,69.19288757114192
0.01,0.01,0.01,0.05,0.01,0.15,15348,0.770419234258564,65.30198171493706
0.01,0.01,0.01,0.05,0.01,0.2,15165,0.7427980749277628,87.72176275677597
0.01,0.01,0.01,0.1,0.01,0.01,15905,0.6799927804132953,101.19638305369027
0.01,0.01,0.01,0.1,0.01,0.05,15719,0.6781492700322529,115.92140680560914
0.01,0.01,0.01,0.1,0.01,0.1,15412,0.8056122133146286,53.71379238800243
0.01,0.01,0.01,0.1,0.01,0.15,15266,0.7156413158678571,99.21069971479655
0.01,0.01,0.01,0.1,0.01,0.2,15083,0.7900716506715263,59.929551324835586
0.01,0.01,0.01,0.15,0.01,0.01,15811,0.7458835374266521,82.96035121430592
0.01,0.01,0.01,0.15,0.01,0.05,15628,0.7284512167021939,84.99951909347196
0.01,0.01,0.01,0.15,0.01,0.1,15327,0.6431922613940548,133.84863530408748
0.01,0.01,0.01,0.15,0.01,0.15,15162,0.6524596308737911,114.57570345872077
0.01,0.01,0.01,0.15,0.01,0.2,15005,0.6935116227387859,97.57274966181261
0.01,0.01,0.01,0.2,0.01,0.01,15702,0.7322810402920872,87.01767323498512
0.01,0.01,0.01,0.2,0.01,0.05,15520,0.8072867524945504,57.48795037748052
0.01,0.01,0.01,0.2,0.01,0.1,15226,0.7911709332430549,64.98077648447163
0.01,0.01,0.01,0.2,0.01,0.15,15062,0.6904152253853665,96.67289984055995
0.01,0.01,0.01,0.2,0.01,0.2,14888,0.7426669768950739,83.25732989189422
0.01,0.05,0.01,0.01,0.01,0.01,16189,0.8644927795202465,27.10304477640607
0.01,0.05,0.01,0.01,0.01,0.05,15971,0.8425067269817593,29.359962270858016
0.01,0.05,0.01,0.01,0.01,0.1,15637,0.8576261995510369,30.148887499183246
0.01,0.05,0.01,0.01,0.01,0.15,15469,0.8201498720537137,37.973560016392426
0.01,0.05,0.01,0.01,0.01,0.2,15275,0.8749603373732039,23.012277908575246
0.01,0.05,0.01,0.05,0.01,0.01,15928,0.8443510300060684,28.767832391334323
0.01,0.05,0.01,0.05,0.01,0.05,15739,0.829376514052023,34.765145319767406
0.01,0.05,0.01,0.05,0.01,0.1,15416,0.82227824927194,33.35464333046471
0.01,0.05,0.01,0.05,0.01,0.15,15271,0.8728526335232549,21.437767909469695
0.01,0.05,0.01,0.05,0.01,0.2,15090,0.8257634223405449,31.845427744195725
0.01,0.05,0.01,0.1,0.01,0.01,15825,0.8199607807185764,35.48296972493378
0.01,0.05,0.01,0.1,0.01,0.05,15639,0.8424922183458514,30.18441077018404
0.01,0.05,0.01,0.1,0.01,0.1,15332,0.8647919546625714,23.29279604852326
0.01,0.05,0.01,0.1,0.01,0.15,15187,0.8387398313478303,29.295019806465664
0.01,0.05,0.01,0.1,0.01,0.2,15004,0.8237810135745365,29.040957749723393
0.01,0.05,0.01,0.15,0.01,0.01,15734,0.8445241951371738,30.178047946971013
0.01,0.05,0.01,0.15,0.01,0.05,15551,0.8274408356515036,31.70698542913321
0.01,0.05,0.01,0.15,0.01,0.1,15250,0.8114546191018019,33.22095707822177
0.01,0.05,0.01,0.15,0.01,0.15,15109,0.8440849108804007,28.11208852304018
0.01,0.05,0.01,0.15,0.01,0.2,14929,0.8403165924785199,28.581204828742205
0.01,0.05,0.01,0.2,0.01,0.01,15622,0.8704256842215053,24.510918630619653
0.01,0.05,0.01,0.2,0.01,0.05,15440,0.8670968516112187,26.617782992102125
0.01,0.05,0.01,0.2,0.01,0.1,15146,0.8415595541211689,30.04660735715489
0.01,0.05,0.01,0.2,0.01,0.15,14983,0.8013265909313325,37.8245849062573
0.01,0.05,0.01,0.2,0.01,0.2,14828,0.8512144552344594,29.649281992261447
0.01,0.1,0.01,0.01,0.01,0.01,15779,0.8026548154293086,17.555465509121852
0.01,0.1,0.01,0.01,0.01,0.05,15574,0.8550394609983692,13.351434107588243
0.01,0.1,0.01,0.01,0.01,0.1,15235,0.8140725275410274,17.478050301393072
0.01,0.1,0.01,0.01,0.01,0.15,15049,0.8235989112485349,15.046917979169267
0.01,0.1,0.01,0.01,0.01,0.2,14866,0.8144353783568108,16.073107868914857
0.01,0.1,0.01,0.05,0.01,0.01,15541,0.8386416180017338,13.91629730915517
0.01,0.1,0.01,0.05,0.01,0.05,15353,0.8510753644752912,13.788972884170652
0.01,0.1,0.01,0.05,0.01,0.1,15060,0.8181026556034889,15.300519281846631
0.01,0.1,0.01,0.05,0.01,0.15,14883,0.8206008688114452,14.10992846450781
0.01,0.1,0.01,0.05,0.01,0.2,14698,0.8447057616568971,13.539807932946442
0.01,0.1,0.01,0.1,0.01,0.01,15441,0.7837978936264659,18.51668314283489
0.01,0.1,0.01,0.1,0.01,0.05,15255,0.8518129971772378,13.72140274284913
0.01,0.1,0.01,0.1,0.01,0.1,14973,0.8404908458513057,13.549070076897046
0.01,0.1,0.01,0.1,0.01,0.15,14804,0.8169865634210423,16.947588193044314
0.01,0.1,0.01,0.1,0.01,0.2,14619,0.7903424296501804,19.042725553336894
0.01,0.1,0.01,0.15,0.01,0.01,15347,0.8140466434716711,17.144666527328344
0.01,0.1,0.01,0.15,0.01,0.05,15164,0.828469790154043,14.463168582714255
0.01,0.1,0.01,0.15,0.01,0.1,14863,0.861427686487824,11.833703693108408
0.01,0.1,0.01,0.15,0.01,0.15,14722,0.8199288267244084,15.799750651515904
0.01,0.1,0.01,0.15,0.01,0.2,14541,0.8192338713253831,16.739457728285974
0.01,0.1,0.01,0.2,0.01,0.01,15238,0.8495021680750372,12.448486398539432
0.01,0.1,0.01,0.2,0.01,0.05,15056,0.8376312024258241,13.532326703646689
0.01,0.1,0.01,0.2,0.01,0.1,14762,0.8257081259856149,15.016903427694139
0.01,0.1,0.01,0.2,0.01,0.15,14623,0.8868489264544892,10.01368179003833
0.01,0.1,0.01,0.2,0.01,0.2,14444,0.8479769809768416,13.952261009003037
0.01,0.15,0.01,0.01,0.01,0.01,15473,0.8056437039701969,10.789870570900147
0.01,0.15,0.01,0.01,0.01,0.05,15266,0.8120216793434727,10.301250765943715
0.01,0.15,0.01,0.01,0.01,0.1,14949,0.8326306734009594,8.963968490035164
0.01,0.15,0.01,0.01,0.01,0.15,14751,0.7747958467982194,12.51197847756848
0.01,0.15,0.01,0.01,0.01,0.2,14565,0.8190960704359505,9.556596155329137
0.01,0.15,0.01,0.05,0.01,0.01,15243,0.825343780580576,9.759056462327976
0.01,0.15,0.01,0.05,0.01,0.05,15068,0.7986839299929753,10.930315995912995
0.01,0.15,0.01,0.05,0.01,0.1,14762,0.8261694243171762,8.638595445194033
0.01,0.15,0.01,0.05,0.01,0.15,14587,0.8290637178124083,8.333388403841099
0.01,0.15,0.01,0.05,0.01,0.2,14406,0.7902712249750408,11.357442449788545
0.01,0.15,0.01,0.1,0.01,0.01,15144,0.8221802277573222,9.737918999229441
0.01,0.15,0.01,0.1,0.01,0.05,14963,0.7966674790408856,11.38706384801724
0.01,0.15,0.01,0.1,0.01,0.1,14681,0.8271863391886398,9.1411793660744
0.01,0.15,0.01,0.1,0.01,0.15,14508,0.8097191550936241,10.287674103226022
0.01,0.15,0.01,0.1,0.01,0.2,14323,0.8269094466781324,9.667012221825418
0.01,0.15,0.01,0.15,0.01,0.01,15050,0.8302270929817295,9.254988512526342
0.01,0.15,0.01,0.15,0.01,0.05,14873,0.8463426251332136,8.473323736963724
0.01,0.15,0.01,0.15,0.01,0.1,14591,0.8380780605418425,8.36288185284884
0.01,0.15,0.01,0.15,0.01,0.15,14427,0.8278424578187934,10.408989902089855
0.01,0.15,0.01,0.15,0.01,0.2,14246,0.8250805195160883,9.504013441760069
0.01,0.15,0.01,0.2,0.01,0.01,14945,0.813216323862255,10.831270415143564
0.01,0.15,0.01,0.2,0.01,0.05,14763,0.8293987557295156,8.810363095507237
0.01,0.15,0.01,0.2,0.01,0.1,14493,0.8247386878450151,9.112625261128837
0.01,0.15,0.01,0.2,0.01,0.15,14332,0.8301687815197593,8.757027588086242
0.01,0.15,0.01,0.2,0.01,0.2,14151,0.8043366759330245,10.16623679482457
