,count,mean,std,min,25%,50%,75%,max,missing_values
Calculated Acres,51.0,28.180470033529414,16.579151093246846,10.1210417,16.264999965,26.18478632,33.668333085,72.77496113,0
Census Tract,51.0,60566816.88235294,6413420.360343391,19211003.0,59091041.0,62231000.0,63071000.0,64071042.0,0
Total Value Calculated,51.0,1448852.0588235294,728822.3677890906,545289.0,984800.0,1347785.0,1791400.0,3482300.0,0
Total Value Per Acre,51.0,58570.716233828636,25643.489983506566,16117.89721951,39702.7115314,53533.05321058,66646.75804993999,111394.93055342,0
Total Land Value Per Acre,51.0,46799.06574686902,23584.914370135382,3378.92350993,33668.97239437,43938.25490699,55328.3824994,106065.90070437,0
Assessed Land Value,51.0,1256651.0784313725,811483.3676439918,42500.0,660149.5,1286467.0,1747440.0,3474500.0,0
Assessed Improvement Value,51.0,192200.98039215687,218622.80953509774,0.0,0.0,115500.0,348700.0,860700.0,0
Tax Amount,51.0,3727.072156862745,3750.385234461289,0.0,0.0,3768.07,5622.895,11627.97,0
Sale Price,51.0,1927990.1960784313,3185559.304879123,0.0,400000.0,600000.0,2045000.0,15300000.0,0
Sale Price Per Acre,51.0,57541.58546589373,73045.8260687438,0.0,13791.6608765,43170.71684451,61971.86408948,357883.2954695,0
