House to Lot Ratio (Bottom),House to Lot Ratio (Top),Acres (Bottom),Acres (Top),VDL Sale Price (Bottom),VDL Sale Price (Top),Records Used,R^2 Test,MSE Test
0.2,0.2,0.2,0.15,0.1,0.15,13686,0.8802484981601135,2.987887511492505
0.2,0.2,0.2,0.15,0.15,0.15,13658,0.8782350735218596,2.909924520814469
0.2,0.2,0.05,0.2,0.05,0.15,13658,0.8755686435521163,3.1091299676967936
0.15,0.2,0.05,0.15,0.2,0.15,13764,0.8740610742875645,3.3107467855252724
0.2,0.2,0.1,0.2,0.15,0.15,13591,0.8735369475994457,3.1162667148322334
0.15,0.2,0.2,0.2,0.2,0.15,13636,0.8733572902007516,3.449357442498817
0.2,0.2,0.1,0.2,0.05,0.15,13648,0.8723662575278733,3.1663637782331104
0.05,0.2,0.1,0.2,0.01,0.01,14459,0.8716102519103471,3.8446631062244294
0.05,0.2,0.1,0.2,0.05,0.01,14459,0.8716102519103471,3.8446631062244294
0.05,0.2,0.1,0.2,0.1,0.01,14459,0.8716102519103471,3.8446631062244294
0.05,0.2,0.1,0.2,0.2,0.01,14459,0.8716102519103471,3.8446631062244294
0.05,0.2,0.1,0.2,0.15,0.01,14459,0.8716102519103471,3.8446631062244294
0.2,0.2,0.2,0.2,0.01,0.15,13633,0.8708607320244803,3.066939014414076
0.2,0.2,0.01,0.2,0.01,0.15,13670,0.8704726188342502,3.388635093783723
0.2,0.2,0.01,0.2,0.01,0.2,13491,0.8697028697083407,2.96603737220729
0.15,0.2,0.2,0.2,0.01,0.05,14139,0.8690843131629589,3.5772572562957974
0.2,0.2,0.01,0.2,0.1,0.15,13637,0.8687943595864813,3.1318243165688284
0.15,0.2,0.05,0.2,0.1,0.1,13892,0.8687507237905929,3.266939658245549
0.2,0.2,0.1,0.2,0.1,0.15,13619,0.8680363589894596,3.4602944297119675
0.2,0.2,0.1,0.05,0.05,0.01,14568,0.8677577638292654,3.086780622331021
0.2,0.2,0.1,0.05,0.15,0.01,14568,0.8677577638292654,3.086780622331021
0.2,0.2,0.1,0.05,0.1,0.01,14568,0.8677577638292654,3.086780622331021
0.2,0.2,0.1,0.05,0.2,0.01,14568,0.8677577638292654,3.086780622331021
0.2,0.2,0.1,0.05,0.01,0.01,14568,0.8677577638292654,3.086780622331021
0.01,0.2,0.2,0.15,0.01,0.1,14110,0.8676468865297247,4.1306239337447765
0.01,0.2,0.1,0.2,0.05,0.1,14027,0.8674465219198726,3.9968577461212975
0.2,0.2,0.15,0.1,0.01,0.15,13842,0.867136595103549,3.2481362202751765
0.15,0.2,0.05,0.15,0.05,0.15,13833,0.8671035959607186,3.596279307452489
0.15,0.2,0.1,0.2,0.2,0.15,13655,0.8666697637072933,3.4673250694413933
0.15,0.2,0.15,0.2,0.01,0.15,13722,0.8665791767568632,3.498405575289395
