Parcel Number,Ownership Duration,Calculated Acres,Census Tract,Total Value Calculated,Total Value Per Acre,Total Land Value Per Acre,Assessed Land Value,Assessed Improvement Value,Tax Amount,Sale Price,Sale Price Per Acre
00503204,0.0,13.50400072,0064071042,1432314,106065.90070437,106065.90070437,1432314,0,0.0,0,0.0
00503204,0.0,13.50400072,0064071042,1432314,106065.90070437,106065.90070437,1432314,0,0.0,0,0.0
00726102,0.0,18.88554524,0064043064,2103754,111394.93055342,92931.07390289,1755054,348700,3768.07,1135000,60098.8738123
00726102,0.0,18.88554524,0064043064,2103754,111394.93055342,92931.07390289,1755054,348700,3768.07,1135000,60098.8738123
00726102,0.0,18.88554524,0064043064,2103754,111394.93055342,92931.07390289,1755054,348700,3768.07,1135000,60098.8738123
00727110,0.0,26.18478632,0064042013,2266606,86561.94372853,80489.71544852,2107606,159000,2925.73,0,0.0
01105104,0.0,26.82775968,0063111011,1448930,54008.60963168,49703.36754789,1333430,115500,2267.89,2402000,89534.12541344
01105104,0.0,26.82775968,0063111011,1448930,54008.60963168,49703.36754789,1333430,115500,2267.89,2402000,89534.12541344
01105104,2.0,26.82775968,0063111011,1448930,54008.60963168,49703.36754789,1333430,115500,2267.89,2402000,89534.12541344
01123119,1.0,52.16478106,0063111007,2792540,53533.05321058,50605.79085256,2639840,152700,2014.81,8200000,157194.18032571
01129102,0.0,21.78620197,0064043022,1347785,61864.15611858,61864.15611858,1347785,0,81.68,718000,32956.63929569
01501126,0.0,10.52261016,0062211000,1062799,101001.4609987,55328.3824994,582199,480600,4405.55,0,0.0
01501126,0.0,10.52261016,0062211000,1062799,101001.4609987,55328.3824994,582199,480600,4405.55,0,0.0
01501126,0.0,10.52261016,0062211000,1062799,101001.4609987,55328.3824994,582199,480600,4405.55,0,0.0
01501126,0.0,10.52261016,0062211000,1062799,101001.4609987,55328.3824994,582199,480600,4405.55,0,0.0
01514178,1.0,10.1210417,0062231000,666000,65803.50320902,42386.94125626,429000,237000,0.0,414000,40904.88037317
01540102,4.0,43.98415818,0062211000,1791400,40728.30023675,40728.30023675,1791400,0,11627.97,188500,4285.63391461
01540102,1.0,43.98415818,0062211000,1791400,40728.30023675,40728.30023675,1791400,0,11627.97,188500,4285.63391461
01703206,0.0,19.64853205,0062241095,780100,39702.7115314,39702.7115314,780100,0,0.0,600000,30536.63237897
01703206,0.0,19.64853205,0062241095,780100,39702.7115314,39702.7115314,780100,0,0.0,600000,30536.63237897
01703206,0.0,19.64853205,0062241095,780100,39702.7115314,39702.7115314,780100,0,0.0,600000,30536.63237897
01738106,0.0,72.77496113,0062241095,3482300,47850.24885117,47743.06913057,3474500,7800,9879.53,4510000,61971.86408948
01738106,0.0,72.77496113,0062241095,3482300,47850.24885117,47743.06913057,3474500,7800,9879.53,4510000,61971.86408948
01738106,0.0,72.77496113,0062241095,3482300,47850.24885117,47743.06913057,3474500,7800,9879.53,4510000,61971.86408948
01921204,2.0,18.17263717,0063071000,1291467,71066.57046531,70791.43153236,1286467,5000,0.0,1688000,92886.9037656
01921204,0.0,18.17263717,0063071000,1291467,71066.57046531,70791.43153236,1286467,5000,0.0,1688000,92886.9037656
01921228,0.0,33.50539199,0063071000,2012800,60073.91288865,60073.91288865,2012800,0,0.0,3510000,104759.25786922
01921228,0.0,33.50539199,0063071000,2012800,60073.91288865,60073.91288865,2012800,0,0.0,3510000,104759.25786922
