Parcel Number,Ownership Duration,Calculated Acres,County,City,State,Zip Code,Zoning Code,Zoning Type,Land Use,Deeded Acres,Owner Corporate Indicator,Land Square Footage,Census Tract,Mobile Home Indicator,Property Indicator,Out of State Owner,Total Value Calculated,Total Value Per Acre,Assessed Total Value,Market Total Value,Appraised Total Value,Land Value Calculated,Total Land Value Per Acre,Assessed Land Value,Market Land Value,Appraised Land Value,Improvement Value Calculated,Assessed Improvement Value,Market Improvement Value,Appraised Improvement Value,Assessed Improvement Value Ratio,Tax Amount,Tax Year,Assessed Year,Tax Code Area,Document Type,Sale Price,Sale Price Per Acre,1st Mortgage Amount,Mortgage Assumption Amount,2nd Mortgage Amount,Front Footage,Depth Footage,Universal Building Square Feet,Building Square Feet,Living Square Feet,Ground Floor Square Feet,Gross Square Feet,Adjusted Gross Square Feet,Basement Square Feet,Garage/Parking Square Feet,Year Built
19705107,15.0,20.87875051,Mecklenburg,CHARLOTTE,NC,28227,R,Residential,SFR,20.988, ,914237,57142015, ,SINGLE FAMILY RESIDENCE,No,1070100,51253.06704763,1070100,1070100,0,794400,38048.25386659,794400,794400,0,275700,275700,275700,0,,7514.87,2023,2023,17,WARRANTY DEED,2123500,101706.27780173,0,0,0,0,0,1906,4412,1906,1906,0,0,1906,600,1963
19351106,15.0,18.34728298,Mecklenburg,MATTHEWS,NC,28105,R15,Residential,SFR,18.59, ,809780,57221000, ,SINGLE FAMILY RESIDENCE,No,513500,27987.79527982,513500,513500,0,513500,27987.79527982,513500,513500,0,0,0,0,0,,3797.85,2023,2023,19,DEED (REG),0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00718201,15.0,13.50434757,Mecklenburg,DAVIDSON,NC,28036,RPA,Residential,AGRICULTURAL (NEC),13.6, ,592416,64043025, ,AGRICULTURAL,No,1398137,103532.36190985,1398137,1398137,0,1398137,103532.36190985,1398137,1398137,0,0,0,0,0,,56.42,2023,2023,23,WARRANTY DEED,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01322102,15.0,50.15365645,Mecklenburg,HUNTERSVILLE,NC,28078,R,Residential,SFR,50.059,Yes,2180570,62222001, ,SINGLE FAMILY RESIDENCE,No,1857200,37030.20141607,1857200,1857200,0,1857200,37030.20141607,1857200,1857200,0,0,0,0,0,,0.0,0,2023,4,SPECIAL WARRANTY DEED,1251000,24943.3458817,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00902211,15.0,13.2213438,Mecklenburg,HUNTERSVILLE,NC,28078,R,Residential,RURAL HOMESITE,13.02, ,567151,62102003, ,SINGLE FAMILY RESIDENCE,No,725127,54845.181479,725127,725127,0,532827,40300.51771884,532827,532827,0,192300,192300,192300,0,,2326.62,2023,2023,4,WARRANTY DEED,0,0.0,0,0,0,0,0,2039,2546,2039,2039,0,0,0,600,1926
19727116,1.0,68.47964259,Mecklenburg,CHARLOTTE,NC,28227,R,Residential,SFR,68.47,Yes,2982553,57143000, ,SINGLE FAMILY RESIDENCE,Yes,2523300,36847.44698463,2523300,2523300,0,417400,6095.24209225,417400,417400,0,2105900,2105900,2105900,0,,0.0,0,2023,16,WARRANTY DEED,1795000,26212.16951509,750000,0,0,0,0,9438,13462,9438,0,0,0,0,0,2004
01910102,2.0,120.73434023,Mecklenburg,HUNTERSVILLE,NC,28078,TR,Residential,SFR,120.8,Yes,5262048,63072009, ,SINGLE FAMILY RESIDENCE,No,2818800,23347.12721063,2818800,2818800,0,2818800,23347.12721063,2818800,2818800,0,0,0,0,0,,18296.83,2023,2023,4,DEED (REG),120000,993.91771863,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00307111,15.0,10.04607412,Mecklenburg,DAVIDSON,NC,28036,RPA,Residential,AGRICULTURAL (NEC),10.6, ,461736,64041000, ,AGRICULTURAL,No,1076399,107146.23312161,1076399,1076399,0,1076399,107146.23312161,1076399,1076399,0,0,0,0,0,,41.15,2023,2023,23,DEED (REG),0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01124104,15.0,33.4427195,Mecklenburg,HUNTERSVILLE,NC,28078,TR,Residential,SFR,0.425, ,18513,63111012, ,SINGLE FAMILY RESIDENCE,No,108200,3235.38281673,108200,108200,0,108200,3235.38281673,108200,108200,0,0,0,0,0,,0.0,0,2023,4,SPECIAL WARRANTY DEED,512500,15324.71066152,307272,0,0,0,0,0,0,0,0,0,0,0,0,0
13711256,3.0,17.89171236,Mecklenburg,CHARLOTTE,NC,28227,R,Residential,SFR,17.891, ,779332,57192009, ,SINGLE FAMILY RESIDENCE,No,1169700,65376.63788049,1169700,1169700,0,853200,47686.8833373,853200,853200,0,316500,316500,316500,0,,8210.18,2023,2023,17,WARRANTY DEED,320000,17885.37584146,331520,0,0,0,0,3672,4640,3672,2298,0,0,0,1050,1971
13941104,15.0,69.28521737,Mecklenburg,CHARLOTTE,NC,28227,R,Residential,FOREST,69.2832,Yes,3017976,57151000, ,AGRICULTURAL,No,1549011,22357.02013692,1549011,1549011,0,1549011,22357.02013692,1549011,1549011,0,0,0,0,0,,0.0,0,2023,16,WARRANTY DEED,1310000,18907.35209715,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00902219,15.0,17.61371453,Mecklenburg,HUNTERSVILLE,NC,28078,R,Residential,AGRICULTURAL (NEC),17.701, ,771056,63061003, ,AGRICULTURAL,Yes,352289,20000.83510713,352289,352289,0,352289,20000.83510713,352289,352289,0,0,0,0,0,,0.0,0,2023,4, ,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19723101,6.0,31.32803158,Mecklenburg,CHARLOTTE,NC,28227,R,Residential,SFR,31.92, ,1390435,57142018, ,SINGLE FAMILY RESIDENCE,No,1546400,49361.54370304,1546400,1546400,0,1307700,41742.1693614,1307700,1307700,0,238700,238700,238700,0,,10839.92,2023,2023,17,WARRANTY DEED,450000,14364.13260888,405000,0,0,0,0,1743,3123,1743,1743,0,0,868,462,1969
19711111,15.0,17.4938212,Mecklenburg,CHARLOTTE,NC,28227,R,Residential,SFR,17.027,Yes,741696,57143005, ,SINGLE FAMILY RESIDENCE,No,624100,35675.45323649,624100,624100,0,624100,35675.45323649,624100,624100,0,0,0,0,0,,0.0,0,2023,17,SPECIAL WARRANTY DEED,820000,46873.69276385,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13706108,15.0,13.651502,Mecklenburg,CHARLOTTE,NC,28227,R,Residential,SFR,14.407,Yes,627569,57192012, ,SINGLE FAMILY RESIDENCE,No,822700,60264.43096851,822700,822700,0,806800,59099.72396426,806800,806800,0,15900,15900,15900,0,,5787.77,2023,2023,17,WARRANTY DEED,60000,4395.12077077,0,0,0,0,0,1519,2199,1519,1519,0,0,400,468,1940
19705203,15.0,16.29127147,Mecklenburg,CHARLOTTE,NC,28227,R,Residential,AGRICULTURAL (NEC),16.52, ,719611,57143007, ,AGRICULTURAL,No,793520,48708.29150828,793520,793520,0,793520,48708.29150828,793520,793520,0,0,0,0,0,,66.02,2023,2023,17, ,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01919101,15.0,28.69965442,Mecklenburg,HUNTERSVILLE,NC,28078,TR,Residential,SFR,27.345,Yes,1191148,63072001, ,SINGLE FAMILY RESIDENCE,No,346500,12073.31610613,346500,346500,0,346500,12073.31610613,346500,346500,0,0,0,0,0,,0.0,0,2023,12,WARRANTY DEED,960000,33449.88012088,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19707207,15.0,17.14087592,Mecklenburg,CHARLOTTE,NC,28227,R,Residential,SFR,17.879, ,778809,57142028, ,SINGLE FAMILY RESIDENCE,No,728700,42512.41322863,728700,728700,0,728700,42512.41322863,728700,728700,0,0,0,0,0,,0.0,0,2023,16,DEED (REG),0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21514103,15.0,32.85264509,Mecklenburg,MATTHEWS,NC,28104,R15,Residential,RURAL HOMESITE,19.76, ,860746,57122007, ,SINGLE FAMILY RESIDENCE,No,1953750,59470.09729173,1953750,1953750,0,1597850,48636.87521822,1597850,1597850,0,355900,355900,355900,0,,0.0,0,2023,19,DEED OF EXCHANGE,360000,10958.02176585,0,0,0,0,0,2614,3912,2614,2262,0,0,336,726,1996
01108104,15.0,48.94267812,Mecklenburg,HUNTERSVILLE,NC,28078,R,Residential,FOREST,47.0, ,2047320,63101002, ,AGRICULTURAL,No,945799,19324.62701801,945799,945799,0,945799,19324.62701801,945799,945799,0,0,0,0,0,,126.3,2023,2023,12,WARRANTY DEED,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00306102,15.0,24.97879003,Mecklenburg,DAVIDSON,NC,28036,RPA,Residential,SFR,24.97,Yes,1087693,64041000, ,SINGLE FAMILY RESIDENCE,No,160000,6405.43436386,160000,160000,0,160000,6405.43436386,160000,160000,0,0,0,0,0,,0.0,0,2023,23,WARRANTY DEED,230000,9207.81189805,376000,0,0,0,0,0,0,0,0,0,0,0,0,0
02106101,15.0,35.09792119,Mecklenburg,HUNTERSVILLE,NC,28078,R,Residential,RURAL HOMESITE,35.77,Yes,1558141,63051004, ,SINGLE FAMILY RESIDENCE,No,1447528,41242.55656796,1447528,1447528,0,1384428,39444.72929316,1384428,1384428,0,63100,63100,63100,0,,1375.43,2023,2023,12,SPECIAL WARRANTY DEED,5420500,154439.34616576,0,0,0,0,0,720,770,720,720,0,0,0,0,1926
01703206,3.0,19.64853205,Mecklenburg,HUNTERSVILLE,NC,28078,R,Residential,SFR,19.67,Yes,856825,62241095, ,SINGLE FAMILY RESIDENCE,No,780100,39702.7115314,780100,780100,0,780100,39702.7115314,780100,780100,0,0,0,0,0,,0.0,0,2023,4,WARRANTY DEED,600000,30536.63237897,580000,0,0,0,0,0,0,0,0,0,0,0,0,0
21515101,1.0,31.83700988,Mecklenburg,MATTHEWS,NC,28105,R12MFCD,Residential,SFR,32.434,Yes,1412825,57122003, ,SINGLE FAMILY RESIDENCE,No,5172600,162471.28795513,5172600,5172600,0,5172600,162471.28795513,5172600,5172600,0,0,0,0,0,,38256.55,2023,2023,19,SPECIAL WARRANTY DEED,10500000,329804.84157461,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22109103,15.0,41.92904173,Mecklenburg,PINEVILLE,NC,28134,R12,Residential,FOREST,42.096, ,1833702,58681013, ,AGRICULTURAL,No,2891770,68968.18721265,2891770,2891770,0,1262880,30119.45772558,1262880,1262880,0,1628890,1628890,1628890,0,,12523.95,2023,2023,21,WARRANTY DEED,1600000,38159.70825489,1280000,0,0,0,0,14898,14898,6451,4696,0,0,0,7053,2007
21515105,4.0,10.38620926,Mecklenburg,MATTHEWS,NC,28105,R15,Residential,SFR,10.388,Yes,452501,57122001, ,SINGLE FAMILY RESIDENCE,No,1678300,161589.27259267,1678300,1678300,0,1656900,159528.84809557,1656900,1656900,0,21400,21400,21400,0,,12457.21,2023,2023,19,SPECIAL WARRANTY DEED,3100000,298472.70752385,0,0,0,0,0,2037,3021,2037,2037,0,0,0,1800,1940
19705101,15.0,10.37176286,Mecklenburg,CHARLOTTE,NC,28227,R,Residential,SFR,10.6, ,461736,57142015, ,SINGLE FAMILY RESIDENCE,No,486800,46935.12631007,486800,486800,0,486800,46935.12631007,486800,486800,0,0,0,0,0,,3398.35,2023,2023,17,WARRANTY DEED,355000,34227.5469188,80000,0,0,0,0,0,0,0,0,0,0,0,0,0
01312282,15.0,33.77021498,Mecklenburg,HUNTERSVILLE,NC,28078,R,Residential,SFR,33.71,Yes,1468408,62221016, ,SINGLE FAMILY RESIDENCE,Yes,867100,25676.4726092,867100,867100,0,867100,25676.4726092,867100,867100,0,0,0,0,0,,0.0,0,2023,4,SPECIAL WARRANTY DEED,900000,26650.70389607,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19725108,15.0,14.48689207,Mecklenburg,CHARLOTTE,NC,28227,R,Residential,AGRICULTURAL (NEC),14.88,Yes,648173,57142006, ,AGRICULTURAL,No,730379,50416.54182365,730379,730379,0,730379,50416.54182365,730379,730379,0,0,0,0,0,,54.76,2023,2023,17,WARRANTY DEED,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13704215,15.0,16.64091459,Mecklenburg,CHARLOTTE,NC,28227,R,Residential,SFR,19.02, ,828511,57181006, ,SINGLE FAMILY RESIDENCE,No,905400,54408.06723258,905400,905400,0,905400,54408.06723258,905400,905400,0,0,0,0,0,,6320.6,2023,2023,17,DEED (REG),0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02117101,1.0,10.85055209,Mecklenburg,HUNTERSVILLE,NC,28078,TR,Residential,SFR,11.05, ,481338,63051058, ,SINGLE FAMILY RESIDENCE,No,686800,63296.31838196,686800,686800,0,364000,33546.6800976,364000,364000,0,322800,322800,322800,0,,4545.79,2023,2023,12,WARRANTY DEED,525000,48384.63475616,420000,0,0,0,0,2434,3250,2434,1884,0,0,0,624,1977
01547128,15.0,58.42782681,Mecklenburg,HUNTERSVILLE,NC,28078,R,Residential,FOREST,60.53,Yes,2636687,62241096, ,AGRICULTURAL,No,2399668,41070.63587414,2399668,2399668,0,2399668,41070.63587414,2399668,2399668,0,0,0,0,0,,0.0,0,2023,4,WARRANTY DEED,1000000,17115.13254089,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02104101,15.0,11.76999586,Mecklenburg,HUNTERSVILLE,NC,28078,TR,Residential,RESIDENTIAL (NEC),12.53, ,545807,63071000, ,SINGLE FAMILY RESIDENCE,No,832225,70707.3315741,832225,832225,0,617225,52440.54520211,617225,617225,0,215000,215000,215000,0,,2612.31,2023,2023,12, ,0,0.0,0,0,0,0,0,2300,3156,2300,1700,0,0,200,1440,1942
11114107,15.0,18.32635657,Mecklenburg,CHARLOTTE,NC,28215,RMH,Residential,MOBILE HOME LOT,19.9, ,866844,56271001,Y,SINGLE FAMILY RESIDENCE,No,458300,25007.6985197,458300,458300,0,401700,21919.25048083,401700,401700,0,56600,56600,56600,0,,3500.77,2023,2023,8,WARRANTY DEED,58500,3192.12385643,0,0,0,0,0,1089,1164,1089,1089,0,0,0,0,1946
01501126,0.0,10.52261016,Mecklenburg,HUNTERSVILLE,NC,28078,R,Residential,SFR,11.003, ,479291,62211000, ,SINGLE FAMILY RESIDENCE,No,1062799,101001.4609987,1062799,1062799,0,582199,55328.3824994,582199,582199,0,480600,480600,480600,0,,4405.55,2023,2023,4, ,0,0.0,0,0,0,0,0,3428,5412,3428,1434,0,0,0,814,2002
21522102,15.0,44.83208678,Mecklenburg,MATTHEWS,NC,28105,R12,Residential,FOREST,45.03,Yes,1961507,203131006, ,AGRICULTURAL,Yes,3591143,80102.07103624,3591143,3591143,0,3591143,80102.07103624,3591143,3591143,0,0,0,0,0,,136.54,2023,2023,19,WARRANTY DEED,2497500,55707.86861259,1250000,0,0,0,0,0,0,0,0,0,0,0,0,0
21929102,15.0,126.98841993,Mecklenburg,CHARLOTTE,NC,28278,RE1CD,Residential,SFR,123.8,Yes,5392728,59251012, ,SINGLE FAMILY RESIDENCE,Yes,9236500,72734.97855444,9236500,9236500,0,5899500,46456.99193222,5899500,5899500,0,3337000,3337000,3337000,0,,62595.76,2023,2023,20,DEED (REG),0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1946
01501126,0.0,10.52261016,Mecklenburg,HUNTERSVILLE,NC,28078,R,Residential,SFR,11.003, ,479291,62211000, ,SINGLE FAMILY RESIDENCE,No,1062799,101001.4609987,1062799,1062799,0,582199,55328.3824994,582199,582199,0,480600,480600,480600,0,,4405.55,2023,2023,4, ,0,0.0,0,0,0,0,0,3428,5412,3428,1434,0,0,0,814,2002
02304206,15.0,12.19900151,Mecklenburg,HUNTERSVILLE,NC,28078,R,Residential,RESIDENTIAL (NEC),12.77, ,556261,62222071, ,SINGLE FAMILY RESIDENCE,No,1178860,96635.77787207,1178860,1178860,0,690960,56640.70125247,690960,690960,0,487900,487900,487900,0,,0.0,0,2023,12,DEED (REG),75500,6189.03112273,0,0,0,0,0,2490,3658,2490,1564,0,0,608,870,1915
01526443,3.0,34.95070204,Mecklenburg,HUNTERSVILLE,NC,28078,R,Residential,SFR,34.951,Yes,1522466,62231057, ,SINGLE FAMILY RESIDENCE,No,1833500,52459.60432908,1833500,1833500,0,1833500,52459.60432908,1833500,1833500,0,0,0,0,0,,4692.2,2023,2023,4,SPECIAL WARRANTY DEED,7200000,206004.44568825,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01319105,15.0,12.78384915,Mecklenburg,HUNTERSVILLE,NC,28078,R,Residential,SFR,12.563, ,547244,62221012, ,SINGLE FAMILY RESIDENCE,No,342200,26768.15065101,342200,342200,0,342200,26768.15065101,342200,342200,0,0,0,0,0,,2221.22,2023,2023,4,SPECIAL WARRANTY DEED,550000,43023.03582132,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13924114,15.0,35.83573283,Mecklenburg,CHARLOTTE,NC,28227,R,Residential,AGRICULTURAL (NEC),34.0, ,1481040,57151011, ,AGRICULTURAL,No,735476,20523.53731401,735476,735476,0,695676,19412.91401006,695676,695676,0,39800,39800,39800,0,,395.5,2023,2023,16,WARRANTY DEED,100000,2790.51081395,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01101102,2.0,11.03395827,Mecklenburg,HUNTERSVILLE,NC,28078,GR,Residential,SFR,10.81,Yes,470884,63112007, ,SINGLE FAMILY RESIDENCE,No,708400,64201.80162012,708400,708400,0,708400,64201.80162012,708400,708400,0,0,0,0,0,,4598.22,2023,2023,4,WARRANTY DEED,550000,49846.11927028,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19720115,15.0,20.57316773,Mecklenburg,CHARLOTTE,NC,28227,R,Residential,SFR,19.92, ,867715,57142015, ,SINGLE FAMILY RESIDENCE,No,1152400,56014.70881351,1152400,1152400,0,845700,41106.94137763,845700,845700,0,306700,306700,306700,0,,8089.4,2023,2023,17,DEED (REG),0,0.0,0,0,0,0,0,2384,4452,2384,1789,0,0,360,0,1926
