Parcel Number,Ownership Duration,Calculated Acres,County,City,State,Zip Code,Zoning Code,Zoning Type,Land Use,Deeded Acres,Owner Corporate Indicator,Land Square Footage,Census Tract,Mobile Home Indicator,Property Indicator,Out of State Owner,Total Value Calculated,Total Value Per Acre,Assessed Total Value,Market Total Value,Appraised Total Value,Land Value Calculated,Total Land Value Per Acre,Assessed Land Value,Market Land Value,Appraised Land Value,Improvement Value Calculated,Assessed Improvement Value,Market Improvement Value,Appraised Improvement Value,Assessed Improvement Value Ratio,Tax Amount,Tax Year,Assessed Year,Tax Code Area,Document Type,Sale Price,Sale Price Per Acre,1st Mortgage Amount,Mortgage Assumption Amount,2nd Mortgage Amount,Front Footage,Depth Footage,Universal Building Square Feet,Building Square Feet,Living Square Feet,Ground Floor Square Feet,Gross Square Feet,Adjusted Gross Square Feet,Basement Square Feet,Garage/Parking Square Feet,Year Built
01303223,10.0,12.40957512,Mecklenburg,HUNTERSVILLE,NC,28078,R,Residential,SFR,13.19,Yes,574556,62222028, ,SINGLE FAMILY RESIDENCE,No,546600,44046.63293595,546600,546600,0,546600,44046.63293595,546600,546600,0,0,0,0,0,,0.0,0,2023,4,WARRANTY DEED,14500,1168.45257514,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01702118,15.0,10.01388394,Mecklenburg,HUNTERSVILLE,NC,28078,R,Residential,RESIDENTIAL (NEC),10.0, ,435600,62241095, ,SINGLE FAMILY RESIDENCE,No,697200,69623.33538411,697200,697200,0,486000,48532.61760854,486000,486000,0,211200,211200,211200,0,,0.0,0,2023,4, ,0,0.0,0,0,0,0,0,3455,4387,3455,1829,0,0,0,722,1900
19351103,15.0,10.41607789,Mecklenburg,MATTHEWS,NC,28105,R15,Residential,SFR,10.22,Yes,445183,57221000, ,SINGLE FAMILY RESIDENCE,No,1338200,128474.46171141,1338200,1338200,0,492500,47282.67253988,492500,492500,0,845700,845700,845700,0,,0.0,0,2023,19,WARRANTY DEED,1260000,120966.83736091,1060000,0,0,0,0,10910,11390,10910,10710,0,0,0,0,1988
00747108,15.0,20.19557541,Mecklenburg,DAVIDSON,NC,28036,RPA,Residential,RURAL HOMESITE,20.18,Yes,879041,64043004, ,SINGLE FAMILY RESIDENCE,No,1466222,72601.15001918,1466222,1466222,0,1466222,72601.15001918,1466222,1466222,0,0,0,0,0,,1369.69,2023,2023,23, ,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01505599,15.0,11.38367129,Mecklenburg,HUNTERSVILLE,NC,28078,R,Residential,SFR,11.39,Yes,496148,62211020, ,SINGLE FAMILY RESIDENCE,No,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,,0.0,0,2023,4, ,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01104101,15.0,36.47545873,Mecklenburg,HUNTERSVILLE,NC,28078,TR,Residential,AGRICULTURAL (NEC),36.86,Yes,1605622,63111007, ,AGRICULTURAL,No,1677538,45990.86779197,1677538,1677538,0,1677538,45990.86779197,1677538,1677538,0,0,0,0,0,,154.49,2023,2023,12, ,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19509115,15.0,17.2090832,Mecklenburg,CHARLOTTE,NC,28227,R,Residential,SFR,17.24,Yes,750974,57131028, ,SINGLE FAMILY RESIDENCE,No,1376500,79986.82929884,1376500,1376500,0,1376500,79986.82929884,1376500,1376500,0,0,0,0,0,,9609.35,2023,2023,17,WARRANTY DEED,1510000,87744.36050945,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00305106,15.0,33.70677534,Mecklenburg,DAVIDSON,NC,28036,RPA,Residential,SFR,33.647,Yes,1465663,64041017, ,SINGLE FAMILY RESIDENCE,No,2068900,61379.35115193,2068900,2068900,0,2068900,61379.35115193,2068900,2068900,0,0,0,0,0,,0.0,0,2023,23,WARRANTY DEED,418500,12415.90142447,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02304213,15.0,13.22557288,Mecklenburg,HUNTERSVILLE,NC,28078,R,Residential,SFR,12.59, ,548420,62222071, ,SINGLE FAMILY RESIDENCE,No,673400,50916.50894573,673400,673400,0,362600,27416.58174001,362600,362600,0,310800,310800,310800,0,,0.0,0,2023,12,DEED (REG),75000,5670.83185466,0,0,0,0,0,2781,3389,2781,2196,0,0,0,1728,1987
01703218,2.0,25.30680202,Mecklenburg,HUNTERSVILLE,NC,28078,R,Residential,RURAL HOMESITE,25.757, ,1121975,62241095, ,SINGLE FAMILY RESIDENCE,No,1979472,78218.97047565,1979472,1979472,0,1429072,56469.87710641,1429072,1429072,0,550400,550400,550400,0,,0.0,0,2023,4,DEED (REG),0,0.0,0,0,0,0,0,4545,7674,4545,3343,0,0,3019,624,1996
