Property Address,Owner Address,Distance
"12907 ANGEL OAK DR, HUNTERSVILLE, NC 28078","12907 ANGEL OAK DR, HUNTERSVILLE, NC 28078-9170",0.0
"13106 ANGEL OAK DR, HUNTERSVILLE, NC 28078","13106 ANGEL OAK DR, HUNTERSVILLE, NC 28078-6854",0.0
"13019 ANGEL OAK DR, HUNTERSVILLE, NC 28078","13019 ANGEL OAK DR, HUNTERSVILLE, NC 28078-9176",0.0
"8610 NEW OAK LN, HUNTERSVILLE, NC 28078","8610 NEW OAK LN, HUNTERSVILLE, NC 28078-9160",0.0
"12612 WILD LILAC CT, HUNTERSVILLE, NC 28078","12612 WILD LILAC CT, HUNTERSVILLE, NC 28078-8394",0.0
"8805 NEW OAK LN, HUNTERSVILLE, NC 28078","8805 NEW OAK LN, HUNTERSVILLE, NC 28078-8322",0.0
"9101 NEW OAK LN, HUNTERSVILLE, NC 28078","9101 NEW OAK LN, HUNTERSVILLE, NC 28078-8319",0.0
"9135 BERTRAM CT, HUNTERSVILLE, NC 28078","9135 BERTRAM CT, HUNTERSVILLE, NC 28078-8100",0.0
"12801 ANGEL OAK DR, HUNTERSVILLE, NC 28078","12801 ANGEL OAK DR, HUNTERSVILLE, NC 28078-7853",0.0
"13316 OLD STORE RD, HUNTERSVILLE, NC 28078","13316 OLD STORE RD, HUNTERSVILLE, NC 28078-7435",0.0
"12155 MOONSHADOW LN, HUNTERSVILLE, NC 28078","12155 MOONSHADOW LN, HUNTERSVILLE, NC 28078-6858",0.0
"8504 LYMAN OAK CT, HUNTERSVILLE, NC 28078","8504 LYMAN OAK CT, HUNTERSVILLE, NC 28078-6873",0.0
"12148 MOONSHADOW LN, HUNTERSVILLE, NC 28078","1850 PARKWAY PL SE Unit 900, MARIETTA, GA 30067-8261",252.0
"12914 FALLCROSS CT, HUNTERSVILLE, NC 28078","12914 FALLCROSS CT, HUNTERSVILLE, NC 28078-6857",0.0
"13101 ANGEL OAK DR, HUNTERSVILLE, NC 28078","8665 E HARTFORD DR Unit 200, SCOTTSDALE, AZ 85255-7807",2041.0
"13120 ANGEL OAK DR, HUNTERSVILLE, NC 28078","4090 PO BOX, SCOTTSDALE, AZ 85261-4090",2039.0
"12726 HOLLYHOCK LN, HUNTERSVILLE, NC 28078","12726 HOLLYHOCK LN, HUNTERSVILLE, NC 28078-6860",0.0
"12152 MOONSHADOW LN, HUNTERSVILLE, NC 28078","12152 MOONSHADOW LN, HUNTERSVILLE, NC 28078-6858",0.0
"8633 SUMMERFIELD LN, HUNTERSVILLE, NC 28078","8633 SUMMERFIELD LN, HUNTERSVILLE, NC 28078-6865",0.0
"8419 BASSINGER DR, HUNTERSVILLE, NC 28078","8419 BASSINGER DR, HUNTERSVILLE, NC 28078-7444",0.0
"8010 GILEAD RD, HUNTERSVILLE, NC 28078","700 N TRYON ST, CHARLOTTE, NC 28202-2222",15.0
"8731 FOX TAIL LN, HUNTERSVILLE, NC 28078","8731 FOX TAIL LN, HUNTERSVILLE, NC 28078-4511",0.0
"8527 FOX TAIL LN, HUNTERSVILLE, NC 28078","8527 FOX TAIL LN, HUNTERSVILLE, NC 28078-4507",0.0
"9112 BERTRAM CT, HUNTERSVILLE, NC 28078","9112 BERTRAM CT, HUNTERSVILLE, NC 28078-9184",0.0
"9109 AGNES PARK LN, HUNTERSVILLE, NC 28078","150 N WILSON AVE, COCOA, FL 32922-7260",552.0
"9116 AGNES PARK LN, HUNTERSVILLE, NC 28078","9200 E HAMPTON DR, CAPITOL HEIGHTS, MD 20743-3820",409.0
"13000 ANGEL OAK DR, HUNTERSVILLE, NC 28078","13000 ANGEL OAK DR, HUNTERSVILLE, NC 28078-9172",0.0
"13038 ANGEL OAK DR, HUNTERSVILLE, NC 28078","13038 ANGEL OAK DR, HUNTERSVILLE, NC 28078-9172",0.0
