,parcelid,transferid,saledate,naldesc,grantor,grantee,Acres,VDL Sale Price,Finished Home Value,Home Transfer ID,Adjusted Finished Home Value,House to Lot Ratio,Address,Latitude,Longitude,landuseful,Mapped_Grantee
count,18903,18903.0,18903,16543,18903,18903,18903.0,18903.0,18903.0,18903.0,18903.0,18903.0,18903,18900.0,18900.0,18834,18903
unique,17298,,1420,23,1498,1075,,,,,,,17064,,,13,937
top,16101270,,2016-08-05,CONVEYANCE OF 2 OR MORE PARCELS,RESERVED,NVR INC,,,,,,,130 CHEROKEE RD CHARLOTTE NC,,,SINGLE FAMILY RESIDENTIAL,LGI HOMES NC LLC
freq,9,,675,11766,1104,1303,,,,,,,28,,,7203,1485
mean,,946873.1702904301,,,,,0.4250722107601968,208339.44621666326,1327450.80447548,1022365.1792308099,546069.2163715075,12.609089245093372,,35.28564952242216,-80.80386308395316,,
std,,115517.71957928716,,,,,2.0779948077247035,1619544.4855108394,4531930.758135211,114962.81601249803,2359997.5198894795,34.09278048392023,,0.08621767789295845,0.1282551875360002,,
min,,750682.0,,,,,0.001,166.66666666666666,500.0,752886.0,127.0,0.0,,34.9865471,-82.65079999999999,,
25%,,849247.0,,,,,0.068,20190.045248868777,259000.0,941230.0,150000.0,2.9425,,35.2278215,-80.86971309999998,,
50%,,948723.0,,,,,0.151,46400.0,381000.0,1036466.0,300000.0,5.165,,35.26861075,-80.81102895,,
75%,,1041345.0,,,,,0.225,103000.0,640000.0,1124774.0,430000.0,10.518,,35.327421,-80.72761065,,
max,,1165946.0,,,,,33.278,52250000.0,100100000.0,1185657.0,100100000.0,1211.094,,36.5009011,-78.8034353,,
